School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
1579,Cobargo Public School,Primary School,Cobargo,80,2550,Wandella Rd,K to 6 ,Cobargo,Open,Illawarra and South East,Sapphire Coast/Monaro,Batemans Bay,Bega Valley (A),0,Bega Valley (A),Bega Valley (A),Bega,Bega,Bega,Eden-Monaro,Eden-Monaro,Regional South,School Performance South,Wagga Wagga,Batemans Bay,Illawarra Shoalhaven & Southern NSW,50179,10179,251,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,PO Box 63,Cobargo 2550,6493 6482,,https://cobargo-p.schools.nsw.gov.au,cobargo-p.school@det.nsw.edu.au,6493 6410,,No,E,N,N,N,0,1,3,01/02/1871,,,304,538,10550,10550,10550,11,9,13,14,665,26045,24706,26086,3.48,"Park, Gillian                           ",gillian.park@det.nsw.edu.au                                                                                                     ,South East & Tablelands,10226,Far South Coast Primary,South East & Tablelands,,,,,,,,,
1580,Cobbitty Public School,Primary School,Cobbitty,325,2570,306 Cobbitty Road,K to 6 ,COBBITTY,Open,South Western Sydney,Macarthur,Campbelltown,Camden (A),0,Camden (A),Camden (A),Camden,Camden,Camden,Hume,Macarthur,Regional South,School Performance South,Ultimo,Macarthur,South Western Sydney,50223,10223,252,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4651 2262,,https://cobbitty-p.schools.nsw.gov.au,cobbitty-p.school@det.nsw.edu.au,4651 2686,,No,E,N,N,N,0,1,1,01/07/1882,,,310,532,11450,11450,11450,45,14,20,26,622,26045,24663,26055,0,"Dallas, Dawn                            ",dawn.dallas@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,10051,Narellan Primary,Metro - South West,,,,,,,,,
1583,Coffee Camp Public School,Primary School,Coffee Camp,31,2480,Nimbin Rd,K to 6 ,Coffee Camp ,Open,North Coast,The Wilson,Lismore,Lismore (C),0,Lismore (C),Lismore (C) - Pt B,Lismore,Lismore,Lismore,Page,Richmond,Rural North,School Performance North,Tamworth,Richmond,Mid North Coast & Northern NSW,49786,9786,253,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6689 9259,,https://coffeecamp-p.schools.nsw.gov.au,coffeecamp-p.school@det.nsw.edu.au,6689 9363,,No,E,N,N,N,9,1,58,1/06/1910,,,320,535,14850,14850,14854,2,44,33,39,635,26062,24685,26078,1.26,"Organ, Kylie                            ",kylie.organ1@det.nsw.edu.au                                                                                                     ,North Coast,10192,Richmond Valley Primary,North Coast,,,,,,,,,
1584,Coffs Harbour Public School,Primary School,Coffs Harbour,499,2450,7 Salamander Street,K to 6 ,COFFS HARBOUR,Open,North Coast,Coffs Harbour,Clarence/Coffs Harbour,Coffs Harbour (C),0,Coffs Harbour (C),Coffs Harbour (C) - Pt A,Coffs Harbour,Coffs Harbour,Coffs Harbour,Cowper,Cowper,Regional North and West,School Performance North,Tamworth,Coffs Harbour,Mid North Coast & Northern NSW,49655,9655,254,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,,,6652 3355,,https://coffsharb-p.schools.nsw.gov.au,coffsharb-p.school@det.nsw.edu.au,6651 3991,,No,E,N,N,N,0,1,61,01/03/1885,,,312,535,11800,11800,11801,18,21,10,11,637,27470,24685,26066,1.94,"Buehler, Leonie                         ",leonie.buehler@det.nsw.edu.au,North Coast,10160,Coffs Harbour Primary,North Coast,,,,,,,40014,North Coast SSP,North Coast
1587,Coledale Public School,Primary School,Coledale,138,2515,Lawrence Hargrave Drive,K to 6 ,Coledale ,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Heathcote,Keira,Heathcote,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,49983,9983,255,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4267 1885,,https://coledale-p.schools.nsw.gov.au,coledale-p.school@det.nsw.edu.au,4268 1438,,No,E,N,N,N,0,1,44,1/06/1912,,,343,538,18450,18450,18451,38,34,11,12,669,26045,24706,26061,0.13,"Stephens, Bernadette                    ",bernadette.stephens1@det.nsw.edu.au                                                                                             ,Illawarra,10008,Wollongong Northern Beaches Primary,Illawarra,,,,,,,,,
1589,Collarenebri Central School,Central/Community School,Collarenebri Central,93.1,2833,High St,K to 12,COLLARENEBRI,Open,New England,New England West,Moree,Walgett (A),0,Walgett (A),Walgett (A),Barwon,Barwon,Barwon,Parkes,Parkes,Rural North,School Performance North,Tamworth,Barwon,"Murrumbidgee, Far West & Western NSW",46403,6403,256,Coed School,N,Comprehensive,No,No Distance Education,Remote,Remote Australia,Yes,No,,,Yes,N,,,6756 2204,,https://collareneb-c.schools.nsw.gov.au,collareneb-c.school@det.nsw.edu.au,6756 2260,,Yes,W,Y,N,N,4,8,57,01/02/1885,,,323,536,17900,17900,17900,5,6,34,35,655,26062,24685,26064,9.11,"Davison, Michael                        ",michael.davison1@det.nsw.edu.au                                                                                                 ,Far West,10216,Western Plains FW Primary,Far West,20120,Western Plains FW Secondary,Far West,,,,,,
1590,Collector Public School,Primary School,Collector,31,2581,Lorn St,K to 6 ,Collector,Open,Illawarra and South East,Queanbeyan,Queanbeyan,Upper Lachlan Shire (A),0,Upper Lachlan Shire (A),Upper Lachlan Shire (A),Goulburn,Goulburn,Burrinjuck,Hume,Hume,Rural South and West,School Performance South,Wagga Wagga,Queanbeyan,Illawarra Shoalhaven & Southern NSW,50273,10273,257,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,4848 0024,,https://collector-p.schools.nsw.gov.au,collector-p.school@det.nsw.edu.au,4848 0102,,No,E,N,N,Y,0,1,55,01/05/1866,,,333,538,17640,17640,17640,12,12,20,21,664,26084,24706,26101,1.62,"Wyatt, Mark                             ",mark.wyatt@det.nsw.edu.au                                                                                                       ,South East & Tablelands,10227,Rural Queanbeyan Primary,South East & Tablelands,,,,,,,,,
1591,Collingullie Public School,Primary School,Collingullie,,2650,18 Urana Street,K to 6 ,COLLINGULLIE,Closed,Riverina,Riverina Central,Wagga Wagga,Wagga Wagga (C),0,Wagga Wagga (C),Wagga Wagga (C) - Pt B,Wagga Wagga,Wagga Wagga,Wagga Wagga,Riverina,Riverina,Rural South and West,School Performance South,Wagga Wagga,Narrandera,"Murrumbidgee, Far West & Western NSW",50495,10495,258,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6920 0165,,Not currently available,collingull-p.school@det.nsw.edu.au,6920 0288,,No,C,N,N,N,9,2,73,01/07/1878,17/12/2017,,341,537,17750,17750,17754,8,87,39,40,660,26084,24706,26099,1.89,,,Riverina - Murray,10222,Rural Wagga Primary,Riverina - Murray,,,,,,,,,
1592,Collie Public School,Primary School,Collie,,2827,Boonara and Wonbobbie Sts,K to 6 ,Collie,Closed,Western NSW,Not Known,Not Defined,Warren (A),0,Warren (A),Not Specified,Barwon,Barwon,Barwon,Parkes,Parkes,Unassigned,,Unassigned,Unassigned,"Murrumbidgee, Far West & Western NSW",,,5013006,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Not Defined,Yes,No,,,No,N,,,6847 9122,,Not currently available,,6847 9202,,Yes,,N,N,N,5,4,57,01/09/1878,15/02/2001,23/09/2003,-1,539,17950,17950,0,5,6,34,35,0,-1,-1,-1,5.15,,,,,,,,,,,,,,,
1593,Collins Creek Public School,Primary School,Collins Creek,12,2474,480 Collins Valley Road,K to 6 ,Collins Creek ,Open,North Coast,Richmond Valley,Lismore,Kyogle (A),0,Kyogle (A),Kyogle (A),Lismore,Lismore,Lismore,Page,Page,Rural North,School Performance North,Tamworth,Richmond,Mid North Coast & Northern NSW,49752,9752,259,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6633 1278,,https://collinsck-p.schools.nsw.gov.au,collinsck-p.school@det.nsw.edu.au,6633 1331,,No,E,N,N,N,8,1,58,1/09/1918,,,320,535,14550,14550,14550,2,44,33,34,634,26062,24685,26078,1.91,"Stewart, Kristina                       ",kristina.stewart@det.nsw.edu.au,North Coast,10173,Kyogle Primary,North Coast,,,,,,,,,
1596,Colyton Public School,Primary School,Colyton,858,2770,Nelson St,K to 6 ,Mount Druitt ,Open,Western Sydney,Minchinbury,Mount Druitt,Blacktown (C),0,Blacktown (C),Blacktown (C) - South-West,Mount Druitt,Mount Druitt,Mount Druitt,Chifley,Chifley,Metropolitan South and West,School Performance South,Macquarie Park,Eastern Creek,Western Sydney & Nepean Blue Mountains,50796,10796,260,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9625 8185,9625 8023,https://colyton-p.schools.nsw.gov.au,colyton-p.school@det.nsw.edu.au,9832 2403,,No,E,N,N,N,0,2,72,01/09/1861,,,324,533,10750,10750,10753,49,55,8,9,625,27472,24625,25994,0,"Cooper, Peterina                        ",pate.cooper@det.nsw.edu.au                                                                                                      ,Metropolitan Sydney,10111,St Marys Primary,Metro - West,,,,,,,,,
1601,Comboyne Public School,Primary School,Comboyne,27,2429,Hill St,K to 6 ,Comboyne ,Open,North Coast,Hastings,Port Macquarie,Port Macquarie-Hastings (A),0,Port Macquarie-Hastings (A),Port Macquarie-Hastings (A) - Pt B,Oxley,Oxley,Oxley,Lyne,Lyne,Regional North and West,School Performance North,Tamworth,Taree,Mid North Coast & Northern NSW,49540,9540,261,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6550 4174,,https://comboyne-p.schools.nsw.gov.au,comboyne-p.school@det.nsw.edu.au,6550 4002,,No,E,N,N,N,8,1,6146,1/04/1922,,,332,535,16380,16380,16385,23,65,24,25,639,27470,24685,26079,2.78,"Isaacs, Darren                          ",darren.isaacs@det.nsw.edu.au,North Coast,10169,Hastings Primary,North Coast,,,,,,,,,
1604,Comleroy Road Public School,Primary School,Comleroy Road,140,2758,McMahons Rd,K to 6 ,Kurrajong,Open,Western Sydney,Hawkesbury,Windsor,Hawkesbury (C),0,Hawkesbury (C),Hawkesbury (C),Hawkesbury,Hawkesbury,Hawkesbury,Macquarie,Macquarie,Regional North,School Performance North,Macquarie Park,Hawkesbury,Western Sydney & Nepean Blue Mountains,50762,10762,262,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Inner Regional Australia,Yes,No,,,No,N,,,4576 1600,,https://comleroyrd-p.schools.nsw.gov.au,comleroyrd-p.school@det.nsw.edu.au,4576 1620,,No,E,N,N,N,0,1,20,01/07/1880,,,342,533,13800,13800,13800,41,33,27,28,631,26027,24625,26034,0.54,"Graham, Rachel                          ",rachel.graham12@det.nsw.edu.au,Metropolitan Sydney,10077,Kurrajong Primary,Metro - West,,,,,,,,,
1605,Como Public School,Primary School,Como,101,2226,Genoa St,K to 6 ,Como ,Open,Sydney,Woronora River,Sutherland,Sutherland Shire (A),0,Sutherland Shire (A),Sutherland Shire (A) - West,Miranda,Miranda,Miranda,Hughes,Cook,Metropolitan South and West,School Performance South,Ultimo,Sutherland,"South Eastern Sydney, Northern Sydney & Sydney",44400,4400,263,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9528 9003,,https://como-p.schools.nsw.gov.au,como-p.school@det.nsw.edu.au,9528 3407,,No,E,N,N,N,0,1,7,1/01/1921,,,337,530,17150,17150,17152,77,53,19,10,600,27472,24663,26025,0,"Gilmore, Nicole                         ",nicole.gilmore@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,10043,Como Primary,Metro - South,,,,,,,,,
1606,Conargo Public School,Primary School,Conargo,10,2710,Deniliquin-Wagga Wagga Rd,K to 6 ,Conargo ,Open,Riverina,Riverina South West,Deniliquin,Edward River (A),0,Conargo (A),Conargo (A),Murray,Murray,Murray-Darling,Farrer,Farrer,Rural South and West,School Performance South,Wagga Wagga,Deniliquin,"Murrumbidgee, Far West & Western NSW",50622,10622,264,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,03 5884 6624,,https://conargo-p.schools.nsw.gov.au,conargo-p.school@det.nsw.edu.au,03 5884 6736,,Yes,C,Y,N,N,6,4,47,01/03/1879,,,313,537,12730,11860,11860,6,57,14,15,657,26084,24706,26089,5.09,"Charlton, Kylie                         ",kylie.charlton4@det.nsw.edu.au,Riverina - Murray,10234,Deniliquin RM Primary,Riverina - Murray,,,,,,,,,
1607,Concord Public School,Primary School,Concord,302,2137,Burwood Rd,K to 6 ,Concord ,Open,South Western Sydney,Strathfield,Granville,Canada Bay (A),0,Canada Bay (A),Canada Bay (A) - Concord,Drummoyne,Drummoyne,Drummoyne,Reid,Reid,Metropolitan South,School Performance South,Ultimo,Strathfield,"South Eastern Sydney, Northern Sydney & Sydney",47782,7782,265,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 522,Concord 2137,9744 8427,9744 8452,https://concord-p.schools.nsw.gov.au,concord-p.school@det.nsw.edu.au,9744 5187,,No,E,N,N,N,0,1,41,01/01/1880,,,316,532,11520,11520,11521,89,25,37,38,623,26008,24663,26024,0,"Vountoulas, Anna                        ",anna.vountoulas@det.nsw.edu.au,Metropolitan Sydney,10023,Concord Primary,Metro - Central,,,,,,,,,
1608,Concord West Public School,Primary School,Concord West,337,2138,Concord Rd,K to 6 ,Concord West ,Open,South Western Sydney,Strathfield,Granville,Canada Bay (A),0,Canada Bay (A),Canada Bay (A) - Concord,Drummoyne,Drummoyne,Drummoyne,Reid,Reid,Metropolitan South,School Performance South,Ultimo,Strathfield,"South Eastern Sydney, Northern Sydney & Sydney",47786,7786,266,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9743 1580,,https://concordw-p.schools.nsw.gov.au,concordw-p.school@det.nsw.edu.au,9743 6606,,No,E,N,N,N,0,1,41,1/11/1929,,,316,532,11520,11520,11521,89,25,37,38,623,26008,24663,26024,0,"Marchiello, Monica                      ",monica.marchiello@det.nsw.edu.au,Metropolitan Sydney,10023,Concord Primary,Metro - Central,,,,,,,,,
1609,Condobolin Public School,Primary School,Condobolin,291,2877,Molong Street,K to 6 ,CONDOBOLIN,Open,Western NSW,Lachlan,Orange,Lachlan (A),0,Lachlan (A),Lachlan (A),Barwon,Barwon,Murrumbidgee,Parkes,Parkes,Rural South and West,School Performance South,Wagga Wagga,West Wyalong,"Murrumbidgee, Far West & Western NSW",51106,11106,267,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,,,6895 2134,6895 2532,https://condobolin-p.schools.nsw.gov.au,condobolin-p.school@det.nsw.edu.au,6895 3665,,Yes,C,Y,N,N,0,6,57,01/10/1867,,,328,539,14600,14600,14600,5,58,34,35,675,26084,24706,26104,5.06,"Neilsen, Jessica                        ",jessica.barber3@det.nsw.edu.au                                                                                                  ,Central West & Orana,10206,Lachlan Primary,Central West & Orana,,,,,,,40002,Central West & Orana SSP,Central West & Orana
1611,Condong Public School,Primary School,Condong,66,2484,McLeod St,K to 6 ,Condong ,Open,North Coast,Far North Coast,Tweed Heads/Ballina,Tweed (A),0,Tweed (A),Tweed (A) - Pt B,Tweed,Tweed,Tweed,Richmond,Richmond,Rural North,School Performance North,Tamworth,Tweed Coast,Mid North Coast & Northern NSW,49913,9913,268,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Major Cities of Australia,No,No,,,No,N,,,6672 2390,,https://condong-p.schools.nsw.gov.au,condong-p.school@det.nsw.edu.au,6672 5535,,No,E,N,N,N,0,1,87,01/05/1888,,,340,535,17550,17550,17558,1,84,38,39,632,26062,24685,26080,0.2,"Quinn, Brendan                          ",brendan.quinn@det.nsw.edu.au,North Coast,10136,Murwillumbah Primary,North Coast,,,,,,,,,
1612,Coniston Public School,Primary School,Coniston,198,2500,Auburn St,K to 6 ,Coniston ,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Wollongong,Wollongong,Wollongong,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong,Illawarra Shoalhaven & Southern NSW,49936,9936,269,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4229 1117,,https://coniston-p.schools.nsw.gov.au,coniston-p.school@det.nsw.edu.au,4226 5094,,No,E,N,N,N,0,1,38,1/07/1921,,,343,538,18450,18450,18451,37,92,11,12,669,26045,24706,26060,0.13,"Morton, Rhonda                          ",rhonda.morton@det.nsw.edu.au                                                                                                    ,Illawarra,10007,Wollongong Cbd Primary,Illawarra,,,,,,,40005,Illawarra SSP,Illawarra
1613,Connells Point Public School,Primary School,Connells Point,504,2221,Riverview Ave,K to 6 ,SOUTH HURSTVILLE,Open,Sydney,Georges River,St George,Georges River (A),0,Kogarah (C),Kogarah (C),Oatley,Oatley,Kogarah,Banks,Banks,Metropolitan South,School Performance South,Ultimo,Kogarah,"South Eastern Sydney, Northern Sydney & Sydney",48632,8632,270,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9546 1730,9546 3765,https://connellspt-p.schools.nsw.gov.au,connellspt-p.school@det.nsw.edu.au,9547 1708,,No,E,N,N,N,0,1,24,1/08/1934,,,336,530,12930,14450,14450,80,39,1,1,604,26008,24663,26019,0,"Pavlovski, Silvia                       ",silvia.pavlovski@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,10038,Blakehurst Primary,Metro - South,,,,,,,,,
1615,Cooerwull Public School,Primary School,Cooerwull,383,2790,319 Main St,K to 6 ,Lithgow ,Open,Western NSW,Bathurst,Bathurst,Lithgow (C),0,Lithgow (C),Lithgow (C),Bathurst,Bathurst,Bathurst,Calare,Calare,Regional North and West,School Performance North,Wagga Wagga,Lithgow,Western Sydney & Nepean Blue Mountains,50960,10960,271,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6351 3106,6351 2975,https://cooerwull-p.schools.nsw.gov.au,cooerwull-p.school@det.nsw.edu.au,6353 1075,,No,E,N,N,N,0,2,28,01/02/1867,,,305,539,14870,14870,14870,21,7,7,7,671,27470,24706,26095,0.7,"Wren, Christine                         ",christine.wren@det.nsw.edu.au                                                                                                   ,Central West & Orana,10207,Lithgow Primary,Central West & Orana,,,,,,,,,
1616,Coogee Public School,Primary School,Coogee,566,2034,Byron St & Coogee Bay Rd,K to 6 ,Coogee ,Open,Sydney,Network 8,Bondi,Randwick (C),0,Randwick (C),Randwick (C),Coogee,Coogee,Coogee,Kingsford Smith,Kingsford Smith,Metropolitan South,School Performance South,Ultimo,Bondi,"South Eastern Sydney, Northern Sydney & Sydney",47053,7053,272,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9315 7255,,https://www.coogeepublicschool.com/,coogee-p.school@det.nsw.edu.au,9664 2161,,No,E,N,N,N,0,1,52,01/08/1876,,,307,530,16550,16550,16550,88,22,22,23,606,26008,24663,26012,0,"Townsend, Matthew                       ",matthew.j.townsend@det.nsw.edu.au                                                                                               ,Metropolitan Sydney,10012,Randwick Primary,Metro - Central,,,,,,,,,
1619,Coolabah Public School,Primary School,Coolabah,,2831,Yarran and Cobar Sts,K to 6 ,Coolabah,Closed,Western NSW,Bourke,Bourke,Bogan (A),0,Bogan (A),Bogan (A),Barwon,Barwon,Barwon,Parkes,Parkes,Unassigned,,Unassigned,Unassigned,"Murrumbidgee, Far West & Western NSW",11047,11047,2286,Coed School,N,Comprehensive,No,No Distance Education,Remote,Remote Australia,Yes,No,,,No,N,,,68332121,,Not currently available,,6833 2102,,Yes,C,Y,N,N,3,6,57,01/01/1887,21/12/2004,18/12/2007,308,539,10950,10950,10950,5,6,34,35,674,-1,-1,-1,9.84,,,,,,,,,,,,,,,
1621,Coolah Central School,Central/Community School,Coolah Central,212,2843,Binnia St,K to 12,Coolah ,Open,Western NSW,Warrumbungle,Dubbo,Warrumbungle Shire (A),0,Warrumbungle Shire (A),Warrumbungle Shire (A),Barwon,Barwon,Barwon,Parkes,Parkes,Regional North and West,School Performance North,Tamworth,Mudgee,"Murrumbidgee, Far West & Western NSW",51066,11066,273,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,6377 1101,,https://coolah-c.schools.nsw.gov.au,coolah-c.school@det.nsw.edu.au,6377 1004,,No,E,N,N,N,9,4,57,01/07/1868,,,314,539,18020,18020,18020,5,6,34,35,673,27470,24685,26098,5.36,"Hughes, Winston                         ",winston.hughes@det.nsw.edu.au                                                                                                   ,Central West & Orana,10208,Macquarie Primary,Central West & Orana,20112,Macquarie Secondary,Central West & Orana,,,,,,
1624,Coolamon Central School,Central/Community School,Coolamon Central,314,2701,75 Methul St,K to 12,Coolamon ,Open,Riverina,Riverina Central,Wagga Wagga,Coolamon (A),0,Coolamon (A),Coolamon (A),Cootamundra,Cootamundra,Murrumbidgee,Riverina,Riverina,Rural South and West,School Performance South,Wagga Wagga,Narrandera,"Murrumbidgee, Far West & Western NSW",50552,10552,274,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6927 3209,,https://coolamon-c.schools.nsw.gov.au,coolamon-c.school@det.nsw.edu.au,6927 3644,,No,C,N,N,N,10,2,54,01/05/1884,,,341,537,12000,12000,12000,9,58,39,40,660,26084,24706,26099,1.96,"Beer, John                              ",john.beer@det.nsw.edu.au,Riverina - Murray,10219,Cootamundra RM Primary,Riverina - Murray,20123,Cootamundra RM Secondary,Riverina - Murray,,,,,,
1625,Shoalhaven Heads Public School,Primary School,Shoalhaven Heads,187,2535,47 Ravenscliffe Road,K to 6 ,Shoalhaven Heads,Open,Illawarra and South East,Shoalhaven,Shellharbour,Shoalhaven (C),0,Shoalhaven (C),Shoalhaven (C) - Pt B,Kiama,Kiama,Kiama,Gilmore,Gilmore,Regional South,School Performance South,Wagga Wagga,Shoalhaven,Illawarra Shoalhaven & Southern NSW,50054,10054,275,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,4448 7174,,https://shoalhaven-p.schools.nsw.gov.au,shoalhaven-p.school@det.nsw.edu.au,4448 7086,,No,E,N,N,N,0,1,6154,01/01/1861,,,335,538,16950,16950,16952,20,38,16,17,670,26045,24706,26056,0.64,"Baker, Sarah                            ",sarah.baker86@det.nsw.edu.au                                                                                                    ,Illawarra,10232,Nowra Primary,Illawarra,,,,,,,,,
1627,Coolongolook Public School,Primary School,Coolongolook,31,2423,Pacific Hwy,K to 6 ,Coolongolook ,Open,North Coast,Lower North Coast,Taree,Mid-Coast (A),0,Great Lakes (A),Great Lakes (A),Myall Lakes,Myall Lakes,Myall Lakes,Lyne,Paterson,Regional North and West,School Performance North,Tamworth,Great Lakes,Hunter New England & Central Coast,49530,9530,276,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,,,4997 7183,,https://coolongolo-p.schools.nsw.gov.au,coolongolo-p.school@det.nsw.edu.au,4997 7232,,No,E,N,N,N,7,1,6148,01/05/1884,,,339,535,15240,13320,13320,25,59,24,37,641,27470,24685,26068,2.02,"Tindall, Jason                          ",jason.tindall@det.nsw.edu.au                                                                                                    ,Hunter,10154,Bulahdelah Primary,Hunter,,,,,,,,,
1628,Cooma Public School,Primary School,Cooma,229,2630,Commissioner St,K to 6 ,Cooma ,Open,Illawarra and South East,Sapphire Coast/Monaro,Queanbeyan,Snowy Monaro Regional (A),0,Cooma-Monaro (A),Cooma-Monaro (A),Monaro,Monaro,Monaro,Eden-Monaro,Eden-Monaro,Rural South and West,School Performance South,Wagga Wagga,Eden-Monaro,Illawarra Shoalhaven & Southern NSW,50428,10428,277,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6452 1933,,https://cooma-p.schools.nsw.gov.au,cooma-p.school@det.nsw.edu.au,6452 2980,,No,E,N,N,Y,0,2,3719,01/03/1863,,,333,538,17040,12050,12050,10,54,13,14,665,26084,24706,26090,1.36,"Butchers, Karen                         ",karen.butchers5@det.nsw.edu.au,South East & Tablelands,10227,Rural Queanbeyan Primary,South East & Tablelands,,,,,,,40015,South East & Tablelands SSP,South East & Tablelands
1630,Coonabarabran Public School,Primary School,Coonabarabran,239,2357,Cnr John St & Newell Hwy,K to 6 ,Coonabarabran ,Open,Western NSW,Warrumbungle,Dubbo,Warrumbungle Shire (A),0,Warrumbungle Shire (A),Warrumbungle Shire (A),Barwon,Barwon,Barwon,Parkes,Parkes,Rural North,School Performance North,Wagga Wagga,Western Plains,"Murrumbidgee, Far West & Western NSW",49392,9392,278,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,Yes,N,PO Box 169,Coonabarabran 2357,6842 1771,,https://coonabarab-p.schools.nsw.gov.au,coonabarab-p.school@det.nsw.edu.au,6842 2416,,Yes,C,Y,N,N,0,4,57,01/10/1870,,,314,539,18020,18020,18020,5,6,34,35,673,26062,24706,26082,4.53,"Evans, Lucy                             ",lucy.evans10@det.nsw.edu.au                                                                                                     ,Central West & Orana,10205,Western Plains Primary,Central West & Orana,,,,,,,40002,Central West & Orana SSP,Central West & Orana
